scenario_id,title,master_case,asset_type,failure_mode,decision_pattern,layer1_valid,priority,execution_mode,intervention_feasible,human_review_required,case_lifecycle_stage,active_blockers_count,active_tasks_count,data_quality_flags,interpretation
COMP-001,Paper compressor case,True,industrial_air_compressor,bearing_degradation,critical_but_feasible_controlled_planning,True,high,controlled_planning,True,True,decision_ready,0,0,,Risk and operational context justify a governed intervention with retained human review.
COMP-002,Lower urgency compressor case,True,industrial_air_compressor,early_vibration_anomaly,medium_urgency_planned_inspection,True,medium,standard_planning,True,True,evidence_review,0,0,,The situation is controlled enough for standard planning or monitoring without escalation.
PUMP-001,Resource-constrained pump case,True,industrial_pump,seal_degradation,high_risk_resource_constrained_escalation,True,high,constrained_execution,False,True,evidence_review,0,0,,"Risk exists, but normal execution is constrained by resources or specialist availability."
CONV-001,Production-constrained conveyor case,True,conveyor_system,belt_drive_degradation,high_risk_production_maintenance_conflict,True,high,controlled_planning,True,True,decision_ready,0,0,,Risk and operational context justify a governed intervention with retained human review.
DATA-001,Evidence-quality stop case,True,electric_motor,contradictory_thermal_vibration_evidence,evidence_quality_review_before_action,False,medium,diagnostic_review,True,True,evidence_review,0,0,sensor_historian:contradictory_temperature_vibration_evidence; sensor_historian:thermal_channel_requires_review,Contradictory evidence is detected. OVERSEE blocks normal execution and recommends diagnostic review.
FAN-001,Low-criticality fan monitoring case,False,industrial_fan,mild_vibration_drift,low_criticality_monitoring,True,low,standard_planning,True,True,evidence_review,0,0,,The situation is controlled enough for standard planning or monitoring without escalation.
MOTOR-001,Moderate motor overheating case,False,electric_motor,moderate_overheating,planned_electrical_inspection,True,medium,standard_planning,True,True,evidence_review,0,0,,The situation is controlled enough for standard planning or monitoring without escalation.
GEAR-001,Repeated gearbox wear case,False,gearbox,repeated_gear_wear,high_recurrence_risk_intervention,True,high,controlled_planning,True,True,decision_ready,0,0,,Risk and operational context justify a governed intervention with retained human review.
ROBOT-001,Safety-sensitive robot axis case,False,industrial_robot,axis_abnormality,safety_sensitive_review_required,True,high,controlled_planning,True,True,decision_ready,0,0,,Risk and operational context justify a governed intervention with retained human review.
CHILLER-001,Chiller energy efficiency degradation case,False,industrial_chiller,energy_efficiency_degradation,energy_optimization_action,True,medium,standard_planning,True,True,evidence_review,0,0,,The situation is controlled enough for standard planning or monitoring without escalation.
BOILER-001,Boiler pressure instability case,False,boiler_system,pressure_instability,compliance_and_safety_escalation,True,critical,controlled_planning,True,True,decision_ready,0,0,,Risk and operational context justify a governed intervention with retained human review.
VALVE-001,Intermittent critical valve fault case,False,critical_valve,intermittent_actuation_fault,diagnostic_action_before_intervention,False,medium,diagnostic_review,True,True,evidence_review,0,0,sensor_historian:intermittent_actuation_signal_requires_confirmation,Evidence quality or intermittent measurement behaviour requires diagnostic review before intervention.
AGV-001,Redundant AGV battery degradation case,False,automated_guided_vehicle,battery_degradation,redundant_asset_planned_replacement,True,medium,standard_planning,True,True,evidence_review,0,0,,The situation is controlled enough for standard planning or monitoring without escalation.
PACK-001,Packaging bottleneck stoppage case,False,packaging_line_asset,intermittent_stoppages,bottleneck_driven_operational_priority,True,medium,controlled_planning,True,True,decision_ready,0,0,,Risk and operational context justify a governed intervention with retained human review.
CIP-001,CIP cleaning reliability case,False,cip_system,cleaning_cycle_reliability_issue,quality_and_availability_coordination,True,high,standard_planning,True,True,decision_ready,0,0,,The situation is controlled enough for standard planning or monitoring without escalation.
HVAC-001,Industrial HVAC air handling case,False,industrial_hvac,air_handling_degradation,environmental_condition_control,True,medium,standard_planning,True,True,evidence_review,0,0,,The situation is controlled enough for standard planning or monitoring without escalation.
PUMP-002,Pump spare available but technician unavailable case,False,industrial_pump,bearing_wear,spare_available_technician_unavailable,True,medium,constrained_execution,False,True,evidence_review,0,0,,"Risk exists, but normal execution is constrained by resources or specialist availability."
COMP-003,Rapid compressor degradation with missing specialist case,False,industrial_air_compressor,rapid_degradation_missing_specialist,high_urgency_missing_specialist_escalation,True,critical,constrained_execution,False,True,evidence_review,0,0,,"Risk exists, but normal execution is constrained by resources or specialist availability."
SENSOR-001,Critical sensor drift suspected case,False,critical_sensor,sensor_drift_suspected,validate_sensor_before_asset_intervention,False,medium,diagnostic_review,True,True,evidence_review,0,0,sensor_historian:sensor_drift_requires_calibration_check,Evidence quality or intermittent measurement behaviour requires diagnostic review before intervention.
MIXER-001,Mixer product quality instability case,False,industrial_mixer,mixing_instability,product_quality_driven_intervention,True,high,controlled_planning,True,True,decision_ready,0,0,,Risk and operational context justify a governed intervention with retained human review.
